file,document_id,document_name,attach_type,attach_size,stage,status,wall_time_sec,cpu_mean_pct,cpu_peak_pct,rss_mean,rss_peak,samples,started_at,attach_name
intel-assist-index-errors-loc-0-2.json,226416,Мегаполис_MDM работы,docx,17667046.0,VECTORIZING,SUB_DONE,1008.188406016,0.4445554445554458,6.1,55386087.448551446,67043328.0,1001.0,2026-07-29 12:25:52.100890+00:00,etl-16MiB.docx
intel-assist-index-errors-loc-0-2.json,226416,Мегаполис_MDM работы,docx,17667046.0,TOKENIZING,SUB_DONE,21.920247808,0.125,0.3,66781184.0,66781184.0,4.0,2026-07-29 12:25:52.100890+00:00,etl-16MiB.docx
intel-assist-index-errors-loc-0-2.json,226416,Мегаполис_MDM работы,docx,17667046.0,EXTRACTING,SUB_DONE,1.522144,0.0,0.0,0.0,0.0,0.0,2026-07-29 12:25:52.100890+00:00,etl-16MiB.docx
intel-assist-index-errors-loc-0-2.json,226416,Мегаполис_MDM работы,docx,17667046.0,CONVERTING,SUB_DONE,11.81527808,0.6233333333333336,6.2,66593678.222222224,66715648.0,90.0,2026-07-29 12:25:52.100890+00:00,etl-16MiB.docx
intel-assist-index-errors-loc-0-21.json,226416,Мегаполис_MDM работы,pdf,8630139.0,INDEXING,SUB_DONE,36.763538944,0.3823008849557521,3.8,53125699.96460177,53821440.0,226.0,2026-08-03 06:48:06.596744+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-21.json,226416,Мегаполис_MDM работы,pdf,8630139.0,EXTRACTING,SUB_DONE,0.772632832,0.0,0.0,0.0,0.0,0.0,2026-08-03 06:48:06.596744+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-21.json,226416,Мегаполис_MDM работы,pdf,8630139.0,CONVERTING,SUB_DONE,1.85884288,0.607142857142857,4.4,53084160.0,53264384.0,14.0,2026-08-03 06:48:06.596744+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-21.json,226416,Мегаполис_MDM работы,pdf,8630139.0,VECTORIZING,SUB_DONE,89.941081088,0.5302904564315348,5.9,50442664.89626556,53985280.0,241.0,2026-08-03 06:48:06.596744+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-21.json,226416,Мегаполис_MDM работы,pdf,8630139.0,TOKENIZING,SUB_DONE,3.23723008,0.3166666666666667,0.7,53340842.666666664,53411840.0,6.0,2026-08-03 06:48:06.596744+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-22.json,226416,Мегаполис_MDM работы,xlsx,2111507.0,VECTORIZING,SUB_DONE,117.913698048,0.3910514541387018,4.4,54034908.49217002,56311808.0,447.0,2026-08-03 15:23:08.334294+00:00,etl-2MiB.xlsx
intel-assist-index-errors-loc-0-22.json,226416,Мегаполис_MDM работы,xlsx,2111507.0,TOKENIZING,SUB_DONE,9.667180032,0.2625,1.0,56692736.0,56803328.0,8.0,2026-08-03 15:23:08.334294+00:00,etl-2MiB.xlsx
intel-assist-index-errors-loc-0-22.json,226416,Мегаполис_MDM работы,xlsx,2111507.0,CONVERTING,SUB_DONE,0.236937984,0.30000000000000004,0.4,56688640.0,56688640.0,2.0,2026-08-03 15:23:08.334294+00:00,etl-2MiB.xlsx
intel-assist-index-errors-loc-0-22.json,226416,Мегаполис_MDM работы,xlsx,2111507.0,EXTRACTING,SUB_DONE,0.534193152,0.0,0.0,0.0,0.0,0.0,2026-08-03 15:23:08.334294+00:00,etl-2MiB.xlsx
intel-assist-index-errors-loc-0-22.json,226416,Мегаполис_MDM работы,xlsx,2111507.0,INDEXING,SUB_DONE,82.920557056,0.32174757281553285,4.9,58429734.27572816,61489152.0,515.0,2026-08-03 15:23:08.334294+00:00,etl-2MiB.xlsx
intel-assist-index-errors-loc-0-3.json,226416,Мегаполис_MDM работы,pdf,17260694.0,VECTORIZING,SUB_DONE,152.424105984,0.44147157190635433,5.1,49978597.45819398,50839552.0,299.0,2026-07-29 16:31:47.747476+00:00,etl-16MiB.pdf
